number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,10,21,OPEN,1739364674000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,10,21,OPEN,1739378511000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,10,21,OPEN,1739379115000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,9,22,OPEN,1739379466000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,9,22,OPEN,1739379719000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,11,20,OPEN,1739379852000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,12,19,OPEN,1739380326000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,12,19,OPEN,1739380933000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,15,16,OPEN,1739384381000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,11,20,OPEN,1739386984000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,10,21,OPEN,1739387597000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,10,21,OPEN,1739388190000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,23,8,OPEN,1739402691000
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.3409, 'lng': -6.2625}",False,False,31,0,31,OPEN,1739443188000
