coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod
"{'lon': -6.2672, 'lat': 53.344}","[{'id': 2964574, 'main': 'Unknown', 'description': 'Unknown', 'icon': '01d'}]",stations,"{""temp"": 11.23, ""feels_like"": 10.18, ""temp_min"": 11.23, ""temp_max"": 11.23, ""pressure"": 1029, ""humidity"": 68, ""sea_level"": 1029, ""grnd_level"": 1000}",6000,"{'speed': 6.69, 'deg': 0}",{'all': 75},1740998865,"{'type': 2, 'id': 0, 'country': 'IE', 'sunrise': 1740985684, 'sunset': 1741025174}",0,2964574,Dublin,200
"{'lon': -6.2672, 'lat': 53.344}","[{'id': 2964574, 'main': 'Unknown', 'description': 'Unknown', 'icon': '01d'}]",stations,"{""temp"": 12.01, ""feels_like"": 11.07, ""temp_min"": 12.01, ""temp_max"": 12.01, ""pressure"": 1029, ""humidity"": 69, ""sea_level"": 1029, ""grnd_level"": 1000}",6000,"{'speed': 6.17, 'deg': 0}",{'all': 75},1741002340,"{'type': 2, 'id': 0, 'country': 'IE', 'sunrise': 1740985684, 'sunset': 1741025174}",0,2964574,Dublin,200
"{'lon': -6.2672, 'lat': 53.344}","[{'id': 2964574, 'main': 'Unknown', 'description': 'Unknown', 'icon': '01d'}]",stations,"{""temp"": 12.65, ""feels_like"": 11.69, ""temp_min"": 12.65, ""temp_max"": 12.65, ""pressure"": 1029, ""humidity"": 66, ""sea_level"": 1029, ""grnd_level"": 1000}",6000,"{'speed': 6.17, 'deg': 0}",{'all': 75},1741005974,"{'type': 2, 'id': 0, 'country': 'IE', 'sunrise': 1740985684, 'sunset': 1741025174}",0,2964574,Dublin,200
"{'lon': -6.2672, 'lat': 53.344}","[{'id': 2964574, 'main': 'Unknown', 'description': 'Unknown', 'icon': '01d'}]",stations,"{""temp"": 12.65, ""feels_like"": 11.69, ""temp_min"": 12.65, ""temp_max"": 12.65, ""pressure"": 1028, ""humidity"": 66, ""sea_level"": 1028, ""grnd_level"": 1000}",6000,"{'speed': 5.14, 'deg': 0}",{'all': 75},1741009675,"{'type': 2, 'id': 0, 'country': 'IE', 'sunrise': 1740985684, 'sunset': 1741025174}",0,2964574,Dublin,200
"{'lon': -6.2672, 'lat': 53.344}","[{'id': 2964574, 'main': 'Unknown', 'description': 'Unknown', 'icon': '01d'}]",stations,"{""temp"": 12.8, ""feels_like"": 11.86, ""temp_min"": 12.8, ""temp_max"": 12.8, ""pressure"": 1028, ""humidity"": 66, ""sea_level"": 1028, ""grnd_level"": 1000}",6000,"{'speed': 5.14, 'deg': 0}",{'all': 75},1741011396,"{'type': 2, 'id': 0, 'country': 'IE', 'sunrise': 1740985684, 'sunset': 1741025174}",0,2964574,Dublin,200
"{'lon': -6.2672, 'lat': 53.344}","[{'id': 2964574, 'main': 'Unknown', 'description': 'Unknown', 'icon': '01d'}]",stations,"{""temp"": 12.44, ""feels_like"": 11.46, ""temp_min"": 12.44, ""temp_max"": 12.44, ""pressure"": 1028, ""humidity"": 66, ""sea_level"": 1028, ""grnd_level"": 1000}",6000,"{'speed': 5.14, 'deg': 0}",{'all': 75},1741015053,"{'type': 2, 'id': 0, 'country': 'IE', 'sunrise': 1740985684, 'sunset': 1741025174}",0,2964574,Dublin,200
"{'lon': -6.2672, 'lat': 53.344}","[{'id': 2964574, 'main': 'Unknown', 'description': 'Unknown', 'icon': '01d'}]",stations,"{""temp"": 11.97, ""feels_like"": 11.02, ""temp_min"": 11.97, ""temp_max"": 11.97, ""pressure"": 1027, ""humidity"": 69, ""sea_level"": 1027, ""grnd_level"": 1000}",6000,"{'speed': 3.6, 'deg': 0}",{'all': 75},1741018682,"{'type': 2, 'id': 0, 'country': 'IE', 'sunrise': 1740985684, 'sunset': 1741025174}",0,2964574,Dublin,200
"{'lon': -6.2672, 'lat': 53.344}","[{'id': 2964574, 'main': 'Unknown', 'description': 'Unknown', 'icon': '01d'}]",stations,"{""temp"": 11.63, ""feels_like"": 10.7, ""temp_min"": 11.63, ""temp_max"": 11.63, ""pressure"": 1027, ""humidity"": 71, ""sea_level"": 1027, ""grnd_level"": 1000}",6000,"{'speed': 3.6, 'deg': 0}",{'all': 75},1741022171,"{'type': 2, 'id': 0, 'country': 'IE', 'sunrise': 1740985684, 'sunset': 1741025174}",0,2964574,Dublin,200
"{'lon': -6.2672, 'lat': 53.344}","[{'id': 2964574, 'main': 'Unknown', 'description': 'Unknown', 'icon': '01d'}]",stations,"{""temp"": 10.6, ""feels_like"": 9.67, ""temp_min"": 10.6, ""temp_max"": 10.6, ""pressure"": 1027, ""humidity"": 75, ""sea_level"": 1027, ""grnd_level"": 1000}",6000,"{'speed': 2.57, 'deg': 0}",{'all': 75},1741025702,"{'type': 2, 'id': 0, 'country': 'IE', 'sunrise': 1740985684, 'sunset': 1741025174}",0,2964574,Dublin,200
"{'lon': -6.2672, 'lat': 53.344}","[{'id': 2964574, 'main': 'Unknown', 'description': 'Unknown', 'icon': '01d'}]",stations,"{""temp"": 10.35, ""feels_like"": 9.37, ""temp_min"": 10.35, ""temp_max"": 10.35, ""pressure"": 1027, ""humidity"": 74, ""sea_level"": 1027, ""grnd_level"": 1000}",6000,"{'speed': 2.24, 'deg': 0}",{'all': 75},1741029481,"{'type': 2, 'id': 0, 'country': 'IE', 'sunrise': 1740985684, 'sunset': 1741025174}",0,2964574,Dublin,200
